Timestamp,Review,Cleaned_Review
2025/02/10 8:03:11 pm GMT+8,"UNITEN has great academic potential, but there are several areas that need improvement, particularly in its facilities and management. Many classrooms and lecture halls have outdated equipment, including malfunctioning air conditioning and inadequate seating, making it uncomfortable for students. The library, while resourceful, requires better maintenance, more study spaces, and a stronger Wi-Fi connection. Additionally, sports and recreational facilities need urgent upgrades, as the gym lacks proper equipment and some sports courts are not well-maintained, discouraging student participation in extracurricular activities.

The university’s management and administrative processes also require improvement. Response times from offices such as finance and student affairs are often slow, leading to delays in resolving student concerns regarding fees and scholarships. Course registration is another major issue, with frequent system crashes and unclear guidelines creating unnecessary stress. Moreover, communication between the university and students needs enhancement, as important updates about policy changes, events, and academic matters are not always effectively conveyed. Addressing these issues will significantly enhance the student experience and ensure UNITEN remains a top choice for higher education.
",united great academic potential several areas need improvement particularly facilities management many classrooms lecture halls outdated equipment including malfunctioning air conditioning inadequate seating making uncomfortable students library resourceful requires better maintenance study spaces stronger wifi connection additionally sports recreational facilities need urgent upgrades gym lacks proper equipment sports courts wellmaintained discouraging student participation extracurricular activities university’s management administrative processes also require improvement response times offices finance student affairs often slow leading delays resolving student concerns regarding fees scholarships course registration another major issue frequent system crashes unclear guidelines creating unnecessary stress moreover communication university students needs enhancement important updates policy changes events academic matters always effectively conveyed addressing issues significantly enhance student experience ensure united remains top choice higher education
2025/02/10 8:03:32 pm GMT+8,The managment system is the worst. The student could not get any time or study week before the finals and we could not get a longor period of time to settle down our pro forma invoice. ,management system worst student could get time study week finals could get longer period time settle pro forma voice
2025/02/10 8:03:39 pm GMT+8,they insist u to pay the pro forma urgently. maybe try to be considerate to people who comes from not so wealthy family. ,insist u pay pro forma urgently maybe try considerable people comes wealthy family
2025/02/10 8:03:57 pm GMT+8,Good education but for accommodation & facilities not so much,good education accommodation facilities much
2025/02/10 8:04:37 pm GMT+8,"In my honest opinjon, its neutral. Uniten got its good and bad side in it. Good things are the lecturers, environment, and education here are positive and non-toxic. Its quite peaceful here. The bad side are more on how the projection of the student's future and well-being. I've seen that the staff's and how uniten goes is not student-oriented. The courses are kinda old for certain subjects and not industry based. We also lack of business and entrepreneur funding for startups. We dont have the innovation, research, and startups environment here. If the environments are more competitive, and the uniten itself promotes the innovation and research culture, we could produce better future oriented students. Exposure is a guaranteed for them. But I believe jt requires both efforts from students and the uniten also. We good",honest opinion neutral united got good bad side good things lecturers environment education positive nontoxic quite peaceful bad side projection students future wellbeing ive seen staffs united goes studentoriented courses kinda old certain subjects industry based also lack business entrepreneur funding startups dont innovation research startups environment environments competitive united promotes innovation research culture could produce better future oriented students exposure guaranteed believe jt requires efforts students united also good
2025/02/10 8:04:44 pm GMT+8,Uniten is great,united great
2025/02/10 8:04:56 pm GMT+8,"honestly, night class is such a huge hassle and big disadvantages to students. Nighttime is the time where all to most students are occupied with studying, assignments or even resting since in the daytime, most of the students wouldnt be able to do so because of classes. I think nighttime classes should not exist.",honestly night class huge hassle big disadvantages students nighttime time students occupied studying assignments even resting since daytime students wouldnt able classes think nighttime classes exist
2025/02/10 8:05:09 pm GMT+8,"For residency, uniten need to create more space for parking and create designated area for student parking and it will be nice if theres a roof for parking, every event that held at dss, all the parking near dss will be closed, where should we park our car. And please makesure cendi allow us to apply access and not just depend on scorun but first come first serve. And please devide the student to who ever drive cars stay at amanah and those who dont stay at cendi. Thankyou very much and please do something about the carpark",residency united need create space parking create designated area student parking nice theres roof parking every event held dss parking near dss closed park car please measure end allow us apply access depend scorn first come first serve please device student ever drive cars stay almanac dont stay end thankyou much please something carpark
2025/02/10 8:06:01 pm GMT+8,"great facilities, great residency. eventhough the management still have room for improvement.",great facilities great residency eventhough management still room improvement
2025/02/10 8:06:08 pm GMT+8,"In my opinion, UNITEN is okay as it is. However, it would be great if UNITEN implement the ‘Rumah Sukan Sistem’ . This initiative will further strengthen the bonds between UNITEN students and staffs.",opinion united okay however would great united implement ‘human sukan system’ initiative strengthen bonds united students staffs
2025/02/10 8:06:09 pm GMT+8,"Naah, this university is a joke",nach university joke
2025/02/10 8:06:43 pm GMT+8,"good facility, friendly community, itms, sir lim kok cheng, coway, kelas malam, wifi",good facility friendly community sir lim kok cheng conway tells mala wifi
2025/02/10 8:07:18 pm GMT+8,UNITEN is among the best universities that provide IT programmes,united among best universities provide programmes
2025/02/10 8:07:40 pm GMT+8,"Don't go to UNITEN, go elsewhere",dont go united go elsewhere
2025/02/10 8:07:41 pm GMT+8,"Well when I first arrived at uniten I thought ""Ouh this is an energy university maybe the electric won't be an issue""
*proceeds to pay every single month for utilities*",well first arrived united thought energy university maybe electric wont issue proceeds pay every single month utilities
2025/02/10 8:08:26 pm GMT+8,"It's a good university, but I don't trust its management",good university dont trust management
2025/02/10 8:08:31 pm GMT+8,"As a final year student, I have a mixed review or opinion about UNITEN. I loved the education. The syllabus taught to students are very comprehensive and up to date to the industry standard. This prepares students in the working industry when they graduate.

As for the facilities, its quite poor in quality. Example includes, roof leakage, broken toilet and damaged roads. There is also poor security controls. Anybody can enter in and out of UNITEN whether they are a student or complete stranger. This poses a threat to all of UNITEN community from students to staffs. 

Would i recommend this university to someone i know? No i would not. There are other universities out there that are miles better than UNITEN. Make a proper research about the university before you enroll because you are going to spend 3-4 years there and potentially have a bright future ahead waiting for you. ",final year student mixed review opinion united loved education syllabus taught students comprehensive date industry standard prepares students working industry graduate facilities quite poor quality example includes roof leakage broken toilet damaged roads also poor security controls anybody enter united whether student complete stranger poses threat united community students staffs would recommend university someone know would universities miles better united make proper research university enroll going spend years potentially bright future ahead waiting
2025/02/10 8:08:34 pm GMT+8,"It’s a great place to study but for me the are lot of things that need to improve?? wifi connection is the priority since there a lot of bad connections, the things that i have the issue since first semester, which is the we not have any “baju koperat” or tshirt that shows we are the uniten student like the main shirt of UNITEN, this happens because during that time, i have go to the outside event like involved with a lot of university, UNITEN students is the only have not the same shirt, like we just use our own shirts, there are the person like literally “halau” us thought we are just outsiders haha, and the positive think that i like about UNITEN is they have a very good lecturer ❤️",it’s great place study lot things need improve wifi connection priority since lot bad connections things issue since first semester “baku opera” shirt shows united student like main shirt united happens time go outside event like involved lot university united students shirt like use shirts person like literally “halal” us thought outsiders haha positive think like united good lecturer
2025/02/10 8:08:38 pm GMT+8,"first I would say the facility where the student learn is very comfortable with comfortable chair and having aircon in every classroom. The food here is amazing and affordable. The accomodation for the student is nice but the problem is always the internet not being able to connect to wifi sometimes. Other then that, parking need to be improve so that more student can park their car.",first would say facility student learn comfortable comfortable chair icon every classroom food amazing affordable accommodation student nice problem always internet able connect wifi sometimes parking need improve student park car
2025/02/10 8:09:03 pm GMT+8,"Academically, UNITEN provides courses that focus more on technology and future development. This positively impacts the current national agenda, which aims to achieve sustainable economic growth and technological advancement. UNITEN has many experienced lecturers who are actively working in the industry, helping to develop students’ skills and prepare them for the workforce.  ",academically united provides courses focus technology future development positively impacts current national agenda aims achieve sustainable economic growth technological advancement united many experienced lecturers actively working industry helping develop students’ skills prepare workforce
2025/02/10 8:10:42 pm GMT+8,for an energy university Im impressed with the ev bus implemented but damn the wifi sucks,energy university im impressed ev bus implemented damn wifi sucks
2025/02/10 8:10:47 pm GMT+8,Uniten has mostly very good lecturers and has sufficient facilities. But accomodation for students are lacking in terms of class schedules and flexibility.,united mostly good lecturers sufficient facilities accommodation students lacking terms class schedules flexibility
2025/02/10 8:12:13 pm GMT+8,#NAME?,name
2025/02/10 8:13:29 pm GMT+8,I feel neither good nor bad towards UNITEN. There are some aspects that I like such as the courses & syllabuses taught to us students. They are relevant for our future because I’ve used those knowledge during my internship and they were shocked that I know such things. The environment itself is also not bad. Library is comfortable. Classes have full lightings to study in. What I dont like is the lack of concerns towards students’ practicality. Less parking spots. Difficulty to access uniten brighten or any uniten website during the release of examination results. Poor wifi connectivity.,feel neither good bad towards united aspects like courses syllables taught us students relevant future i’ve used knowledge internship shocked know things environment also bad library comfortable classes full lighting study dont like lack concerns towards students’ practically less parking spots difficulty access united brighter united website release examination results poor wifi connectivity
2025/02/10 8:14:54 pm GMT+8,moderate ,moderate
2025/02/10 8:17:27 pm GMT+8,the facilities are not really good,facilities really good
2025/02/10 8:22:41 pm GMT+8,"UNITEN is a great university. However there are some room of improvements with the issues on accommodations, studies, curriculums and others",united great university however room improvements issues accommodations studies curriculum others
2025/02/10 9:12:13 pm GMT+8,Student info yg old school.aplikasi student life yg tak funtion.kos bayar mahal tpi ni je dapat,student info yg old schoolaplikasi student life yg tak funtionkos bayer medal ti ni je data
2025/02/10 9:13:11 pm GMT+8,"Saya merasakan uniten perlu improve dari segi system delay mereka dalam aspek student info ia akan mengganggu student untuk akses dalam web itu,Dari aspek kos pendidikan,ia terlalu mahal dan tidak mengikut harga yang di bayar mahal tersebut.Jika servis perkhidmatan pendidikan ia mahal perlulah mengikut prosedur tersebut.Maaf hanya sekadar hujahan sahaja.",say merasakan united peru improve dari semi system delay merely dalam aspen student info ia aka mengganggu student untuk aises dalam web idari aspen kos pendidikania terlalu medal dan tidal mengikut hara yang di bayer medal tersebutjika serves perkhidmatan pendidikan ia medal perlulah mengikut procedure tersebutmaaf hanja sekadar hujahan sarja
